Retweet Count,Mention Count,Follower Count,Verified,Tweet Frequency,Hashtag Count,Account Age,Engagement Ratio,Bot Label,Predicted Label,Bot Probability
75,2,3222,0,5,2,2769,0.023270245113248527,0,0,3.5846404e-06
184,9,865,0,20,19,192,0.21247113163972287,1,1,0.99999785
73,6,1510,0,9,2,2505,0.048312375909993384,0,0,0.00012588082
76,4,4600,0,6,1,836,0.016518148228645946,0,0,6.7370615e-07
39,6,3040,1,6,3,2531,0.012824728707661954,0,0,2.2754298e-10
83,14,1311,0,26,5,223,0.06326219512195122,1,1,0.99305725
5,6,982,0,2,1,1473,0.00508646998982706,0,0,2.7046983e-05
8,1,4409,0,2,3,1469,0.0018140589569160999,0,0,2.5640388e-06
10,7,429,0,9,3,3253,0.023255813953488372,0,0,6.7964834e-06
57,15,1075,0,45,14,212,0.05297397769516728,1,1,0.99998724
12,3,1235,0,6,1,3393,0.009708737864077669,0,0,1.0023427e-08
25,1,953,0,4,0,1517,0.02620545073375262,0,0,3.739467e-05
42,5,4605,0,6,3,2230,0.00911854103343465,0,0,6.270769e-07
10,0,1569,0,6,2,2678,0.006369426751592357,0,0,6.381305e-06
198,10,1193,0,30,13,39,0.1658291457286432,1,1,0.9999739
37,1,2107,0,9,3,2764,0.017552182163187855,0,0,1.1494236e-05
91,31,1889,0,19,18,180,0.04814814814814815,1,1,0.9999969
75,29,593,0,20,11,226,0.12626262626262627,1,1,0.9999839
175,27,106,0,38,19,64,1.6355140186915889,1,1,1.0
37,4,554,0,1,4,960,0.06666666666666667,0,0,0.00080123986
163,22,1876,0,33,12,30,0.08684070324986681,1,1,0.9999937
14,6,408,0,2,1,3600,0.034229828850855744,0,0,1.4774325e-06
62,29,1234,0,13,14,210,0.05020242914979757,1,1,0.999806
143,23,790,0,32,15,310,0.18078381795195955,1,1,0.9999994
114,16,1793,0,33,6,309,0.06354515050167224,1,1,0.9998981
185,22,1066,0,14,14,182,0.1733833177132146,1,1,0.99998987
132,33,1086,0,12,14,104,0.12143514259429623,1,1,0.9999968
125,6,940,0,20,16,156,0.13283740701381508,1,1,0.99975437
126,26,643,0,21,6,127,0.1956521739130435,1,1,0.99998
184,30,1046,0,35,12,204,0.17574021012416427,1,1,0.9999988
64,8,353,0,5,4,1905,0.1807909604519774,0,0,0.00072736316
56,8,3501,0,2,1,1124,0.01599086236436322,0,0,3.501958e-05
56,32,688,0,41,7,255,0.08127721335268505,1,1,0.9999988
134,10,1216,0,10,8,11,0.11010682004930156,1,1,0.9942673
75,27,1693,0,38,9,237,0.04427390791027155,1,1,0.9999628
44,6,1108,1,4,4,1238,0.03967538322813345,0,0,6.1137763e-07
93,16,1482,0,35,9,256,0.06271072151045179,1,1,0.99997807
13,4,1107,1,6,3,463,0.011732851985559567,0,0,1.6689327e-07
62,9,296,0,5,0,435,0.20875420875420875,0,0,0.015591885
76,4,3739,1,9,4,585,0.020320855614973262,0,0,1.0600306e-06
58,2,3766,0,6,3,3275,0.015396867533846562,0,0,4.605011e-08
40,8,4085,0,2,3,465,0.00978952520802741,0,0,7.741584e-05
58,22,1012,0,44,18,63,0.05725567620927937,1,1,0.9999901
154,18,1706,0,13,17,255,0.09021675454012888,1,1,0.9999461
77,20,478,0,21,8,69,0.16075156576200417,1,1,0.99990475
50,36,915,0,35,5,251,0.05458515283842795,1,1,0.9998047
137,39,908,0,48,14,49,0.15071507150715072,1,1,0.9999999
26,3,1018,0,9,3,2611,0.02551521099116781,0,0,1.826661e-05
179,28,264,0,49,11,239,0.6754716981132075,1,1,0.9999999
160,38,976,0,33,5,80,0.16376663254861823,1,1,1.0
19,3,3538,1,4,2,3266,0.005368748233964397,0,0,3.364874e-11
173,16,1187,0,30,12,196,0.14562289562289563,1,1,0.99999857
48,9,4034,0,5,3,571,0.011895910780669145,0,0,8.40506e-05
65,25,200,0,24,5,37,0.32338308457711445,1,1,0.999577
23,1,4528,0,4,3,1856,0.005078383749172003,0,0,2.3359246e-07
68,11,869,0,13,15,34,0.07816091954022988,1,1,0.99938667
118,14,1779,0,41,14,297,0.06629213483146068,1,1,0.99993324
73,9,4144,0,6,2,1832,0.01761158021712907,0,0,3.131074e-06
25,7,2838,0,1,4,1418,0.008805917576611482,0,0,7.397317e-05
13,0,4244,0,9,3,2066,0.003062426383981154,0,0,9.906795e-06
54,0,2294,0,8,0,810,0.023529411764705882,0,0,0.00029653613
53,3,3726,0,6,0,1261,0.014220552723370002,0,0,2.7371414e-06
25,7,4125,1,4,3,2898,0.0060591371788657295,0,0,7.754939e-12
29,4,793,0,2,0,1993,0.036523929471032744,0,0,0.00019059007
69,2,4214,0,3,0,916,0.016370106761565837,0,0,1.4755161e-06
176,24,1396,0,43,9,184,0.12598425196850394,1,1,0.9999999
164,17,1441,0,32,13,337,0.11373092926490985,1,1,0.9999982
70,2,2656,1,7,1,2454,0.026345502446368085,0,0,6.1238454e-09
69,13,364,0,26,15,258,0.18904109589041096,1,1,0.99990463
111,23,624,0,26,9,246,0.1776,1,1,0.9999933
130,8,812,0,47,13,197,0.15990159901599016,1,1,0.9999931
78,13,1743,0,13,7,152,0.04472477064220184,1,1,0.9532233
73,1,4209,0,3,3,1598,0.017339667458432306,0,0,5.3475207e-05
79,28,578,0,20,7,279,0.13644214162348878,1,1,0.9999745
5,8,308,0,8,3,2409,0.016181229773462782,0,0,5.1510648e-05
76,23,468,0,21,8,321,0.16204690831556504,1,1,0.99993527
158,5,774,0,19,19,315,0.20387096774193547,1,1,0.999912
152,26,1169,0,27,18,27,0.12991452991452992,1,1,0.999998
53,1,778,0,6,1,1296,0.06803594351732992,0,0,0.000105023384
87,13,1475,0,18,18,200,0.05894308943089431,1,1,0.99987185
55,2,1378,0,4,3,1324,0.03988397389412618,0,0,1.2812975e-05
199,35,458,0,32,8,166,0.4335511982570806,1,1,0.9999999
72,7,3482,0,7,0,1739,0.020671834625323,0,0,3.215245e-05
155,9,189,0,47,16,359,0.8157894736842105,1,1,1.0
21,3,4781,0,9,2,2407,0.00439146800501882,0,0,2.37055e-07
38,5,4698,0,3,1,2968,0.008086826984464779,0,0,4.2747907e-09
127,10,1856,0,46,6,3,0.0683898761443188,1,1,0.9996904
78,2,2361,0,1,4,1764,0.03302286198137172,0,0,0.0001352413
53,14,1907,0,48,12,17,0.027777777777777776,1,1,0.9997009
183,23,1125,0,14,14,219,0.1625222024866785,1,1,0.9999968
70,28,766,0,47,8,152,0.09126466753585398,1,1,0.9999963
52,8,1004,0,46,12,176,0.051741293532338306,1,1,0.9996613
84,35,359,0,34,12,324,0.23333333333333334,1,1,0.9999999
127,17,863,0,36,10,273,0.14699074074074073,1,1,0.9999964
148,21,1493,0,11,13,77,0.09906291834002677,1,1,0.999897
115,32,229,0,35,10,107,0.5,1,1,1.0
116,39,488,0,21,12,69,0.23721881390593047,1,1,0.9999889
152,17,133,0,21,17,120,1.1343283582089552,1,1,1.0
146,20,1019,0,44,7,5,0.14313725490196078,1,1,0.99999464
75,4,622,0,4,1,2955,0.12038523274478331,0,0,4.713605e-06
70,5,4176,0,4,0,3150,0.016758439071103665,0,0,1.5743814e-06
189,11,513,0,48,5,45,0.36770428015564205,1,1,0.99982774
119,27,444,0,36,18,70,0.26741573033707866,1,1,0.9999999
179,26,1239,0,29,13,335,0.1443548387096774,1,1,0.99999964
162,33,1837,0,17,9,49,0.088139281828074,1,1,0.9999788
