source,target
0,0
0,3409
0,5284
0,8306
0,5354
0,3226
0,9434
0,4614
0,3545
0,9556
1,1
1,7094
1,1938
1,5619
1,9623
1,1567
1,2261
1,6942
1,6713
1,76
2,2
2,7848
2,167
2,3177
2,8653
2,5701
2,6278
2,8817
2,7862
2,9848
3,3
3,5876
3,7609
3,9825
3,1265
3,552
3,8705
3,5713
3,3743
3,8094
4,4
4,1109
4,6412
4,470
4,9612
4,7209
4,941
4,4333
4,5862
4,6161
5,5
5,3538
5,8066
5,520
5,2293
5,4950
5,557
5,614
5,3130
5,4494
6,6
6,2423
6,1966
6,3899
6,1254
6,7288
6,3045
6,7076
6,2577
6,5387
7,7
7,5147
7,9855
7,8757
7,5898
7,2811
7,2454
7,9333
7,209
7,912
8,8
8,4995
8,3252
8,4193
8,4748
8,6558
8,3157
8,2547
8,9528
8,215
9,9
9,7382
9,6325
9,3889
9,2562
9,222
9,7690
9,5962
9,9938
9,2866
10,10
10,6737
10,9267
10,9496
10,1610
10,652
10,2204
10,9714
10,4932
10,3737
11,11
11,1991
11,4630
11,1463
11,4790
11,3932
11,563
11,799
11,5387
11,192
12,12
12,3029
12,7497
12,3394
12,3284
12,6787
12,4829
12,8733
12,5880
12,3438
13,13
13,4502
13,1749
13,1591
13,2030
13,5106
13,5658
13,2799
13,5001
13,8360
14,14
14,9263
14,6274
14,5857
14,3910
14,7503
14,3669
14,2608
14,5372
14,2773
15,15
15,6509
15,6234
15,9091
15,8913
15,9727
15,5003
15,9561
15,5001
15,5980
16,16
16,4235
16,2363
16,4207
16,5561
16,2183
16,1826
16,7100
16,1473
16,1031
17,17
17,8602
17,7569
17,1916
17,3717
17,5185
17,3304
17,5840
17,2434
17,9905
18,18
18,7997
18,1083
18,9427
18,8281
18,5911
18,6146
18,7552
18,8693
18,9270
19,19
19,562
19,3017
19,8413
19,597
19,1743
19,8788
19,3355
19,345
19,1958
20,20
20,3915
20,9031
20,821
20,6239
20,4786
20,1076
20,4741
20,1304
20,6289
